wav_file,json_decibel,wav_peak_spl,wav_rms_spl,json_direction,wav_predicted_direction,spl_difference_peak,spl_difference_rms,match_direction
1.자동차_1000_1.wav,122.0,94.0,73.2,우,좌,28.0,48.8,False
1.자동차_1001_1.wav,105.0,90.9,74.8,좌,중앙,14.1,30.2,False
1.자동차_1008_1.wav,71.0,82.2,64.8,우,중앙,11.2,6.2,False
1.자동차_1010_1.wav,74.0,85.0,68.8,좌,중앙,11.0,5.2,False
1.자동차_1011_1.wav,120.0,90.8,75.7,우,중앙,29.2,44.3,False
1.자동차_1012_1.wav,70.0,79.0,65.1,좌,중앙,9.0,4.9,False
1.자동차_1013_1.wav,69.0,84.7,67.0,우,중앙,15.7,2.0,False
1.자동차_1017_1.wav,106.0,94.0,76.6,우,중앙,12.0,29.4,False
1.자동차_1018_1.wav,126.0,90.4,75.2,우,중앙,35.6,50.8,False
1.자동차_1020_1.wav,70.0,84.0,65.6,좌,중앙,14.0,4.4,False
1.자동차_1025_1.wav,121.0,91.1,70.9,우,좌,29.9,50.1,False
1.자동차_1028_1.wav,112.0,94.0,73.2,좌,중앙,18.0,38.8,False
1.자동차_102_1.wav,118.0,94.0,83.7,좌,좌,24.0,34.3,True
1.자동차_1030_1.wav,69.0,86.2,69.6,우,중앙,17.2,0.6,False
1.자동차_1033_1.wav,72.0,85.3,68.4,우,중앙,13.3,3.6,False
1.자동차_1040_1.wav,93.0,89.0,74.0,우,중앙,4.0,19.0,False
1.자동차_1041_1.wav,110.0,90.5,72.2,우,중앙,19.5,37.8,False
1.자동차_1045_1.wav,93.0,89.0,73.0,우,좌,4.0,20.0,False
1.자동차_1046_1.wav,101.0,90.1,73.6,우,중앙,10.9,27.4,False
1.자동차_1047_1.wav,71.0,80.0,64.6,우,중앙,9.0,6.4,False
1.자동차_1050_1.wav,121.0,91.1,72.5,좌,중앙,29.9,48.5,False
1.자동차_1052_1.wav,118.0,90.3,72.8,우,중앙,27.7,45.2,False
1.자동차_1053_1.wav,97.0,89.8,72.1,좌,중앙,7.2,24.9,False
1.자동차_1054_1.wav,91.0,87.0,70.5,좌,중앙,4.0,20.5,False
1.자동차_1056_1.wav,81.0,86.4,70.1,우,중앙,5.4,10.9,False
1.자동차_1058_1.wav,75.0,77.7,62.6,좌,중앙,2.7,12.4,False
1.자동차_1060_1.wav,118.0,91.4,72.9,좌,중앙,26.6,45.1,False
1.자동차_1061_1.wav,88.0,87.8,71.6,우,중앙,0.2,16.4,False
1.자동차_1062_1.wav,115.0,88.8,76.0,우,중앙,26.2,39.0,False
1.자동차_1063_1.wav,118.0,89.6,72.5,우,중앙,28.4,45.5,False
1.자동차_1064_1.wav,68.0,79.0,63.5,우,중앙,11.0,4.5,False
