Category,File,JSON_dB,WAV_dB,ΔdB
차량경적,1.자동차_1_1.wav,72,64.28,7.72
차량경적,1.자동차_100_1.wav,69,71.49,2.49
차량경적,1.자동차_10000_1.wav,116,78.58,37.42
차량경적,1.자동차_10001_1.wav,99,70.21,28.79
차량경적,1.자동차_10002_1.wav,76,75.08,0.92
차량경적,1.자동차_10004_1.wav,111,82.88,28.12
차량경적,1.자동차_10005_1.wav,121,80.18,40.82
차량경적,1.자동차_10006_1.wav,127,73.1,53.9
차량경적,1.자동차_10007_1.wav,105,80.47,24.53
차량경적,1.자동차_10010_1.wav,109,76.99,32.01
차량경적,1.자동차_10011_1.wav,101,82.6,18.4
차량경적,1.자동차_10012_1.wav,121,79.27,41.73
차량경적,1.자동차_10013_1.wav,110,77.75,32.25
차량경적,1.자동차_10014_1.wav,115,75.64,39.36
차량경적,1.자동차_10015_1.wav,103,78.06,24.94
차량경적,1.자동차_10016_1.wav,116,73.35,42.65
차량경적,1.자동차_10017_1.wav,109,73.0,36.0
차량경적,1.자동차_10018_1.wav,110,76.88,33.12
차량경적,1.자동차_10020_1.wav,106,80.01,25.99
차량경적,1.자동차_10021_1.wav,107,78.39,28.61
차량경적,1.자동차_10022_1.wav,100,72.81,27.19
차량경적,1.자동차_10023_1.wav,111,76.17,34.83
차량경적,1.자동차_10025_1.wav,103,73.42,29.58
차량경적,1.자동차_10026_1.wav,100,77.22,22.78
차량경적,1.자동차_10027_1.wav,119,78.69,40.31
차량경적,1.자동차_10028_1.wav,123,79.26,43.74
차량경적,1.자동차_10029_1.wav,103,82.59,20.41
차량경적,1.자동차_10030_1.wav,112,73.18,38.82
차량경적,1.자동차_10032_1.wav,104,77.46,26.54
차량경적,1.자동차_10033_1.wav,104,75.18,28.82
차량경적,1.자동차_10034_1.wav,79,72.03,6.97
차량경적,1.자동차_10035_1.wav,117,79.19,37.81
차량경적,1.자동차_10036_1.wav,111,78.3,32.7
차량경적,1.자동차_10038_1.wav,119,79.76,39.24
차량경적,1.자동차_10039_1.wav,113,79.02,33.98
차량경적,1.자동차_10041_1.wav,104,74.98,29.02
차량경적,1.자동차_10043_1.wav,109,81.67,27.33
차량경적,1.자동차_10044_1.wav,101,78.8,22.2
차량경적,1.자동차_10045_1.wav,119,74.71,44.29
차량경적,1.자동차_10046_1.wav,115,77.41,37.59
차량경적,1.자동차_10049_1.wav,108,78.07,29.93
차량경적,1.자동차_10050_1.wav,109,77.35,31.65
차량경적,1.자동차_10051_1.wav,124,78.58,45.42
차량경적,1.자동차_10052_1.wav,123,81.98,41.02
차량경적,1.자동차_10054_1.wav,108,74.54,33.46
차량경적,1.자동차_10056_1.wav,108,76.75,31.25
차량경적,1.자동차_10057_1.wav,130,77.82,52.18
차량경적,1.자동차_10059_1.wav,107,79.44,27.56
차량경적,1.자동차_10061_1.wav,113,81.11,31.89
차량경적,1.자동차_10062_1.wav,113,77.23,35.77
차량경적,1.자동차_10064_1.wav,101,78.77,22.23
차량경적,1.자동차_10065_1.wav,102,79.09,22.91
차량경적,1.자동차_10068_1.wav,113,79.04,33.96
차량경적,1.자동차_10069_1.wav,123,80.02,42.98
차량경적,1.자동차_10070_1.wav,123,76.82,46.18
차량경적,1.자동차_10071_1.wav,125,82.25,42.75
차량경적,1.자동차_10072_1.wav,104,73.04,30.96
차량경적,1.자동차_10073_1.wav,108,77.81,30.19
차량경적,1.자동차_10074_1.wav,113,77.91,35.09
차량경적,1.자동차_10076_1.wav,108,72.61,35.39
차량경적,1.자동차_10078_1.wav,122,77.38,44.62
차량경적,1.자동차_10079_1.wav,122,76.64,45.36
차량경적,1.자동차_10080_1.wav,106,78.31,27.69
차량경적,1.자동차_10081_1.wav,107,76.95,30.05
차량경적,1.자동차_10083_1.wav,108,79.07,28.93
차량경적,1.자동차_10085_1.wav,116,80.64,35.36
차량경적,1.자동차_10089_1.wav,122,78.2,43.8
차량경적,1.자동차_10090_1.wav,111,78.22,32.78
차량경적,1.자동차_10092_1.wav,113,78.99,34.01
차량경적,1.자동차_10094_1.wav,107,75.4,31.6
차량경적,1.자동차_10095_1.wav,101,78.2,22.8
차량경적,1.자동차_10096_1.wav,102,75.99,26.01
차량경적,1.자동차_10097_1.wav,120,77.94,42.06
차량경적,1.자동차_10098_1.wav,113,79.15,33.85
차량경적,1.자동차_10099_1.wav,115,75.47,39.53
차량경적,1.자동차_10100_1.wav,68,65.61,2.39
차량경적,1.자동차_10101_1.wav,119,77.87,41.13
차량경적,1.자동차_10102_1.wav,114,73.96,40.04
차량경적,1.자동차_10103_1.wav,128,81.24,46.76
차량경적,1.자동차_10105_1.wav,112,77.27,34.73
차량경적,1.자동차_10106_1.wav,109,75.74,33.26
차량경적,1.자동차_10107_1.wav,117,79.7,37.3
차량경적,1.자동차_10108_1.wav,126,78.59,47.41
차량경적,1.자동차_10109_1.wav,118,76.26,41.74
차량경적,1.자동차_10110_1.wav,106,78.87,27.13
차량경적,1.자동차_10113_1.wav,100,78.69,21.31
차량경적,1.자동차_10117_1.wav,112,77.73,34.27
차량경적,1.자동차_10118_1.wav,112,80.57,31.43
차량경적,1.자동차_10119_1.wav,116,79.78,36.22
차량경적,1.자동차_10120_1.wav,120,77.32,42.68
차량경적,1.자동차_10121_1.wav,122,78.33,43.67
차량경적,1.자동차_10125_1.wav,110,77.56,32.44
차량경적,1.자동차_10127_1.wav,102,77.49,24.51
차량경적,1.자동차_10128_1.wav,106,81.41,24.59
차량경적,1.자동차_10129_1.wav,118,74.3,43.7
차량경적,1.자동차_10130_1.wav,110,80.22,29.78
차량경적,1.자동차_10131_1.wav,103,82.25,20.75
차량경적,1.자동차_10132_1.wav,117,77.36,39.64
차량경적,1.자동차_10133_1.wav,117,73.97,43.03
차량경적,1.자동차_10134_1.wav,116,74.65,41.35
차량경적,1.자동차_10135_1.wav,105,77.39,27.61
차량경적,1.자동차_10136_1.wav,113,77.41,35.59
차량경적,1.자동차_10137_1.wav,112,80.3,31.7
차량경적,1.자동차_10138_1.wav,104,76.38,27.62
차량경적,1.자동차_10139_1.wav,100,75.89,24.11
차량경적,1.자동차_10140_1.wav,102,78.93,23.07
차량경적,1.자동차_10141_1.wav,128,74.8,53.2
차량경적,1.자동차_10142_1.wav,101,80.34,20.66
차량경적,1.자동차_10143_1.wav,70,69.47,0.53
차량경적,1.자동차_10144_1.wav,126,81.05,44.95
차량경적,1.자동차_10145_1.wav,103,79.9,23.1
차량경적,1.자동차_10146_1.wav,103,77.25,25.75
차량경적,1.자동차_10147_1.wav,117,77.52,39.48
차량경적,1.자동차_10148_1.wav,125,78.71,46.29
차량경적,1.자동차_10149_1.wav,124,79.35,44.65
차량경적,1.자동차_10150_1.wav,119,78.61,40.39
차량경적,1.자동차_10151_1.wav,117,74.78,42.22
차량경적,1.자동차_10152_1.wav,75,54.31,20.69
차량경적,1.자동차_10153_1.wav,121,73.39,47.61
차량경적,1.자동차_10154_1.wav,105,80.21,24.79
차량경적,1.자동차_10155_1.wav,116,77.69,38.31
차량경적,1.자동차_10157_1.wav,104,79.12,24.88
차량경적,1.자동차_10158_1.wav,118,78.59,39.41
차량경적,1.자동차_10160_1.wav,120,77.98,42.02
차량경적,1.자동차_10162_1.wav,117,78.94,38.06
차량경적,1.자동차_10163_1.wav,122,78.77,43.23
차량경적,1.자동차_10165_1.wav,123,76.65,46.35
차량경적,1.자동차_10166_1.wav,102,74.65,27.35
차량경적,1.자동차_10167_1.wav,107,78.67,28.33
차량경적,1.자동차_10169_1.wav,129,77.75,51.25
차량경적,1.자동차_10171_1.wav,110,72.2,37.8
차량경적,1.자동차_10172_1.wav,108,79.46,28.54
차량경적,1.자동차_10174_1.wav,106,79.11,26.89
차량경적,1.자동차_10175_1.wav,117,74.58,42.42
차량경적,1.자동차_10177_1.wav,117,80.58,36.42
차량경적,1.자동차_10178_1.wav,103,78.24,24.76
차량경적,1.자동차_10179_1.wav,125,78.41,46.59
차량경적,1.자동차_10180_1.wav,127,78.28,48.72
차량경적,1.자동차_10182_1.wav,108,76.19,31.81
차량경적,1.자동차_10184_1.wav,115,80.48,34.52
차량경적,1.자동차_10185_1.wav,105,79.12,25.88
차량경적,1.자동차_10186_1.wav,101,78.85,22.15
차량경적,1.자동차_10188_1.wav,116,76.36,39.64
차량경적,1.자동차_10189_1.wav,112,78.93,33.07
차량경적,1.자동차_10190_1.wav,107,77.0,30.0
차량경적,1.자동차_10191_1.wav,127,77.93,49.07
